"New_Client_Id_Client";"sending_date_group";"is_opened_retreated";"is_clicked";"mailing_id";"email_id";"min_sending_date";"email_count"
294477;2022-01-10;FALSE;FALSE;"2812";"2020859";2022-01-10;1
294490;2022-05-08;FALSE;FALSE;"2823";"2132899";2022-05-08;1
294491;2018-12-13;TRUE;TRUE;"37";"493636";2018-12-13;1
294491;2019-04-06;FALSE;FALSE;"37;38";"493636";2019-04-06;2
294491;2019-08-21;TRUE;FALSE;"37;38";"493636";2019-08-21;2
294491;2020-01-18;TRUE;FALSE;"37;38";"493636";2020-01-18;2
294491;2020-06-11;FALSE;FALSE;"37;38";"493636";2020-06-11;2
294491;2020-07-13;TRUE;TRUE;"37";"493636";2020-07-13;1
294491;2020-08-22;FALSE;FALSE;"37";"493636";2020-08-22;1
294491;2020-08-26;TRUE;FALSE;"38";"493636";2020-08-26;1
294491;2021-08-11;FALSE;FALSE;"37";"493636";2021-08-11;1
294491;2021-08-16;FALSE;FALSE;"38";"493636";2021-08-16;1
294491;2021-12-14;TRUE;TRUE;"37;38";"493636";2021-12-14;2
294491;2021-12-23;TRUE;FALSE;"2812";"493636";2021-12-23;1
294491;2022-04-27;TRUE;FALSE;"2812";"493636";2022-04-27;1
294491;2023-01-19;FALSE;FALSE;"3389";"493636";2023-01-19;1
294491;2023-08-06;FALSE;FALSE;"3980";"493636";2023-08-06;1
294493;2019-10-17;FALSE;FALSE;"39";"925752";2019-10-17;1
294493;2019-10-21;FALSE;FALSE;"40";"925752";2019-10-21;1
294493;2020-11-09;FALSE;FALSE;"39;40";"925752";2020-11-09;2
294493;2021-09-23;FALSE;FALSE;"37;38";"925752";2021-09-23;2
294494;2018-12-18;TRUE;TRUE;"12";"1319666";2018-12-18;1
294499;2020-06-20;FALSE;FALSE;"12;13";"1528096";2020-06-20;2
294502;2020-12-16;FALSE;FALSE;"12;13";"1853012";2020-12-16;2
294503;2020-07-05;TRUE;FALSE;"37;38";"1721900";2020-07-05;2
294503;2023-04-11;FALSE;FALSE;"3389";"1721900";2023-04-11;1
294504;2023-01-11;TRUE;TRUE;"3408";"611990";2023-01-11;1
294510;2020-05-29;TRUE;FALSE;"14;15";"1516453";2020-05-29;2
294512;2021-12-08;TRUE;FALSE;"37";"561413";2021-12-08;1
294512;2021-12-13;FALSE;FALSE;"38";"561413";2021-12-13;1
294515;2018-10-22;TRUE;TRUE;"12";"1300256";2018-10-22;1
294516;2019-06-12;TRUE;TRUE;"37";"490969";2019-06-12;1
294516;2019-08-16;TRUE;FALSE;"37;38";"490969";2019-08-16;2
294517;2018-12-12;FALSE;FALSE;"12;13";"1315296";2018-12-12;2
294519;2021-02-10;TRUE;FALSE;"2105";"1905422";2021-02-10;1
294522;2021-10-01;TRUE;FALSE;"2105";"1993777";2021-10-01;1
294522;2023-07-07;FALSE;FALSE;"3980";"1993777";2023-07-07;1
294526;2018-09-16;TRUE;TRUE;"12;13";"1292219";2018-09-16;2
294526;2019-01-03;TRUE;TRUE;"37;38";"1292219";2019-01-03;2
294526;2019-02-04;TRUE;TRUE;"37";"1292219";2019-02-04;1
294526;2019-04-24;TRUE;TRUE;"37;38";"1292219";2019-04-24;2
294526;2019-05-29;TRUE;TRUE;"37;38";"1292219";2019-05-29;2
294526;2019-08-21;TRUE;TRUE;"37";"1292219";2019-08-21;1
294526;2019-10-17;TRUE;TRUE;"37";"1292219";2019-10-17;1
294526;2019-10-21;TRUE;TRUE;"38";"1292219";2019-10-21;1
294526;2020-03-06;TRUE;FALSE;"37;38";"1292219";2020-03-06;2
294526;2020-05-18;TRUE;TRUE;"37;38";"1292219";2020-05-18;2
294526;2020-10-14;FALSE;FALSE;"37;38";"1292219";2020-10-14;2
294526;2021-02-11;TRUE;FALSE;"37;38";"1292219";2021-02-11;2
294526;2021-11-13;TRUE;TRUE;"37";"1292219";2021-11-13;1
294526;2022-04-01;TRUE;FALSE;"2812";"1292219";2022-04-01;1
294526;2022-06-16;TRUE;FALSE;"3151";"1292219";2022-06-16;1
294526;2022-11-24;TRUE;FALSE;"3389";"1292219";2022-11-24;1
294526;2023-03-31;TRUE;FALSE;"3389";"1292219";2023-03-31;1
294526;2023-05-10;TRUE;TRUE;"3389";"1292219";2023-05-10;1
294526;2023-07-25;TRUE;FALSE;"3980";"1292219";2023-07-25;1
294528;2020-10-10;FALSE;FALSE;"14;15";"1757378";2020-10-10;2
294533;2019-12-10;TRUE;FALSE;"12;13";"1454816";2019-12-10;2
294535;2019-08-27;FALSE;FALSE;"12;13";"1407065";2019-08-27;2
294536;2018-11-16;FALSE;FALSE;"14;15";"206458";2018-11-16;2
294544;2019-12-10;TRUE;FALSE;"12;13";"1455666";2019-12-10;2
294544;2021-02-13;TRUE;TRUE;"39";"1455666";2021-02-13;1
294544;2021-08-19;TRUE;FALSE;"39;40";"1455666";2021-08-19;2
294544;2021-09-23;TRUE;TRUE;"39;40";"1455666";2021-09-23;2
294551;2018-11-30;TRUE;FALSE;"12;13";"539206";2018-11-30;2
294553;2019-04-12;TRUE;FALSE;"12;13";"1365039";2019-04-12;2
294553;2021-10-06;FALSE;FALSE;"37;38";"1365039";2021-10-06;2
294554;2020-09-20;FALSE;FALSE;"12;13";"1754398";2020-09-20;2
294555;2022-02-03;FALSE;FALSE;"2812";"1248347";2022-02-03;1
294556;2019-08-22;TRUE;FALSE;"37;38";"451840";2019-08-22;2
294556;2020-02-06;TRUE;FALSE;"37;38";"451840";2020-02-06;2
294556;2021-09-18;TRUE;FALSE;"37;38";"451840";2021-09-18;2
294556;2022-12-24;TRUE;FALSE;"3389";"451840";2022-12-24;1
294556;2023-08-10;TRUE;FALSE;"3980";"451840";2023-08-10;1
294557;2019-02-01;FALSE;FALSE;"12";"1345978";2019-02-01;1
294557;2019-02-12;FALSE;FALSE;"13";"1345978";2019-02-12;1
294557;2020-10-24;TRUE;TRUE;"37";"1345978";2020-10-24;1
294557;2020-12-01;TRUE;TRUE;"37";"1345978";2020-12-01;1
294557;2021-02-20;TRUE;FALSE;"37;38";"1345978";2021-02-20;2
294557;2021-08-24;TRUE;FALSE;"37;38";"1345978";2021-08-24;2
